id,merchant_id,shopper_id,amount_cents,created_at,completed_at
233,8,168,21868,08/01/2018 13:00:00,10/01/2018 22:26:36
234,1,253,41962,08/01/2018 14:00:00,10/01/2018 11:38:41
236,2,248,36388,08/01/2018 16:00:00,09/01/2018 17:58:52
237,10,254,7174,08/01/2018 17:00:00,10/01/2018 23:57:46
239,9,266,38408,08/01/2018 19:00:00,09/01/2018 22:28:05
241,3,62,27558,08/01/2018 21:00:00,
246,7,98,29786,09/01/2018 01:16:00,
251,8,252,13781,09/01/2018 04:26:00,
253,13,100,16856,09/01/2018 05:42:00,
261,4,123,12822,09/01/2018 10:46:00,
263,13,153,18055,09/01/2018 12:02:00,
266,10,335,37006,09/01/2018 13:56:00,
273,10,319,6787,09/01/2018 18:22:00,
275,12,327,31294,09/01/2018 19:38:00,
283,6,351,28267,10/01/2018 01:36:00,
287,14,154,27996,10/01/2018 04:48:00,
299,12,127,2608,10/01/2018 14:24:00,
304,9,284,35360,10/01/2018 18:24:00,
306,2,351,37193,10/01/2018 20:00:00,
314,14,338,4127,11/01/2018 01:48:00,
325,4,177,36125,11/01/2018 08:24:00,
333,7,385,4154,11/01/2018 13:12:00,
341,2,78,40542,11/01/2018 18:00:00,
343,8,106,31714,11/01/2018 19:12:00,
358,9,42,14814,12/01/2018 05:57:00,
359,3,338,41730,12/01/2018 06:48:00,
244,9,151,10104,09/01/2018 00:00:00,11/01/2018 06:13:17
245,8,53,17593,09/01/2018 00:38:00,10/01/2018 21:54:15
247,4,354,33385,09/01/2018 01:54:00,10/01/2018 10:59:49
248,14,358,42112,09/01/2018 02:32:00,11/01/2018 12:10:37
249,4,139,40338,09/01/2018 03:10:00,10/01/2018 22:46:31
250,13,98,5911,09/01/2018 03:48:00,11/01/2018 04:30:16
254,8,36,27858,09/01/2018 06:20:00,10/01/2018 17:40:59
255,10,150,41570,09/01/2018 06:58:00,11/01/2018 05:28:01
256,5,163,21301,09/01/2018 07:36:00,11/01/2018 09:39:18
257,8,237,107,09/01/2018 08:14:00,10/01/2018 10:36:05
258,13,376,34690,09/01/2018 08:52:00,11/01/2018 11:39:02
260,6,295,6027,09/01/2018 10:08:00,11/01/2018 06:30:06
262,12,38,40450,09/01/2018 11:24:00,10/01/2018 19:37:22
264,5,201,20213,09/01/2018 12:40:00,10/01/2018 12:49:00
265,1,352,34127,09/01/2018 13:18:00,10/01/2018 17:04:02
267,4,247,8068,09/01/2018 14:34:00,11/01/2018 04:42:07
269,12,163,35464,09/01/2018 15:50:00,11/01/2018 08:46:05
270,5,195,20509,09/01/2018 16:28:00,12/01/2018 01:58:17
271,8,262,37831,09/01/2018 17:06:00,11/01/2018 05:21:11
272,3,44,32651,09/01/2018 17:44:00,11/01/2018 11:41:02
274,2,105,5264,09/01/2018 19:00:00,11/01/2018 10:34:16
276,2,147,43204,09/01/2018 20:16:00,11/01/2018 23:22:26
278,2,330,2738,09/01/2018 21:32:00,11/01/2018 13:19:05
279,1,175,6217,09/01/2018 22:10:00,12/01/2018 05:13:55
280,13,47,24909,09/01/2018 22:48:00,11/01/2018 17:40:19
281,7,52,22796,09/01/2018 23:26:00,11/01/2018 16:12:02
282,1,314,38559,10/01/2018 00:48:00,11/01/2018 14:13:45
285,13,346,23457,10/01/2018 03:12:00,11/01/2018 09:55:23
286,9,123,16609,10/01/2018 04:00:00,11/01/2018 11:34:22
288,12,232,15988,10/01/2018 05:36:00,11/01/2018 12:46:18
289,8,31,7443,10/01/2018 06:24:00,11/01/2018 15:10:53
290,12,132,30794,10/01/2018 07:12:00,12/01/2018 02:58:26
292,12,192,15708,10/01/2018 08:48:00,11/01/2018 18:35:17
293,2,307,29692,10/01/2018 09:36:00,11/01/2018 11:04:23
294,6,396,14754,10/01/2018 10:24:00,11/01/2018 16:59:24
295,2,385,35877,10/01/2018 11:12:00,12/01/2018 13:43:37
296,11,49,22559,10/01/2018 12:00:00,13/01/2018 01:17:54
297,1,381,2611,10/01/2018 12:48:00,12/01/2018 12:28:40
300,9,242,3653,10/01/2018 15:12:00,11/01/2018 19:49:01
301,4,132,45044,10/01/2018 16:00:00,13/01/2018 06:55:54
302,8,92,9063,10/01/2018 16:48:00,12/01/2018 16:29:21
303,1,389,41770,10/01/2018 17:36:00,13/01/2018 04:44:13
305,7,305,44902,10/01/2018 19:12:00,13/01/2018 03:22:50
308,2,217,9626,10/01/2018 21:36:00,13/01/2018 05:29:23
309,14,135,38913,10/01/2018 22:24:00,12/01/2018 10:42:59
310,10,203,20464,10/01/2018 23:12:00,12/01/2018 22:17:32
311,14,247,35164,11/01/2018 00:00:00,13/01/2018 15:01:17
312,1,123,12465,11/01/2018 00:36:00,12/01/2018 20:28:57
315,6,53,40235,11/01/2018 02:24:00,13/01/2018 14:32:19
316,1,108,33843,11/01/2018 03:00:00,12/01/2018 12:47:39
317,13,308,26399,11/01/2018 03:36:00,12/01/2018 16:43:00
318,1,369,43825,11/01/2018 04:12:00,13/01/2018 01:55:35
319,11,168,19787,11/01/2018 04:48:00,13/01/2018 05:07:35
320,3,338,37095,11/01/2018 05:24:00,12/01/2018 12:58:59
322,10,384,41417,11/01/2018 06:36:00,13/01/2018 07:50:13
323,9,154,35880,11/01/2018 07:12:00,13/01/2018 01:02:55
324,7,335,23379,11/01/2018 07:48:00,13/01/2018 19:35:01
326,9,397,26363,11/01/2018 09:00:00,13/01/2018 23:57:17
327,3,224,3853,11/01/2018 09:36:00,13/01/2018 07:44:04
329,3,106,25330,11/01/2018 10:48:00,12/01/2018 13:18:42
330,3,360,41891,11/01/2018 11:24:00,12/01/2018 17:30:53
331,13,238,13363,11/01/2018 12:00:00,13/01/2018 08:35:19
332,4,60,10625,11/01/2018 12:36:00,13/01/2018 21:16:52
334,2,22,23891,11/01/2018 13:48:00,14/01/2018 07:25:35
336,10,295,14011,11/01/2018 15:00:00,13/01/2018 12:13:31
337,3,22,23825,11/01/2018 15:36:00,13/01/2018 00:30:35
338,10,286,14562,11/01/2018 16:12:00,14/01/2018 08:39:29
339,2,287,27376,11/01/2018 16:48:00,14/01/2018 07:42:49
340,11,237,23679,11/01/2018 17:24:00,12/01/2018 21:45:33
342,7,396,2549,11/01/2018 18:36:00,14/01/2018 06:26:15
345,3,345,38246,11/01/2018 20:24:00,13/01/2018 19:03:41
346,13,235,32682,11/01/2018 21:00:00,13/01/2018 08:39:31
347,12,33,20986,11/01/2018 21:36:00,14/01/2018 06:26:53
348,9,76,22609,11/01/2018 22:12:00,13/01/2018 02:11:52
349,1,361,35490,11/01/2018 22:48:00,13/01/2018 08:42:04
351,10,79,42288,12/01/2018 00:00:00,13/01/2018 11:10:00
352,8,211,5268,12/01/2018 00:51:00,14/01/2018 17:24:15
353,6,220,18074,12/01/2018 01:42:00,14/01/2018 17:25:37
354,14,233,25563,12/01/2018 02:33:00,14/01/2018 13:39:29
355,13,165,16321,12/01/2018 03:24:00,13/01/2018 16:21:24
357,7,393,16538,12/01/2018 05:06:00,13/01/2018 21:19:08
360,5,334,28880,12/01/2018 07:39:00,13/01/2018 18:55:11
372,5,305,34664,12/01/2018 17:51:00,
377,1,269,18236,12/01/2018 22:06:00,
387,2,302,37511,13/01/2018 07:36:00,
393,5,44,8519,13/01/2018 13:18:00,
397,10,356,27802,13/01/2018 17:06:00,
407,14,361,32294,14/01/2018 01:48:00,
408,4,246,38637,14/01/2018 02:24:00,
409,4,168,24375,14/01/2018 03:00:00,
419,4,298,10457,14/01/2018 09:00:00,
420,13,54,3625,14/01/2018 09:36:00,
426,1,115,35282,14/01/2018 13:12:00,
449,10,137,4031,15/01/2018 03:05:00,
450,9,256,26979,15/01/2018 03:42:00,
451,6,190,11009,15/01/2018 04:19:00,
452,3,211,21677,15/01/2018 04:56:00,
454,14,78,44142,15/01/2018 06:10:00,
458,8,35,14598,15/01/2018 08:38:00,
459,3,233,43633,15/01/2018 09:15:00,
461,5,236,44142,15/01/2018 10:29:00,
474,3,366,16742,15/01/2018 18:30:00,
475,12,14,2823,15/01/2018 19:07:00,
363,2,50,14477,12/01/2018 10:12:00,15/01/2018 01:05:09
364,12,221,36468,12/01/2018 11:03:00,14/01/2018 02:28:26
365,10,223,32943,12/01/2018 11:54:00,13/01/2018 14:33:36
366,3,237,37961,12/01/2018 12:45:00,15/01/2018 01:19:59
367,13,361,42739,12/01/2018 13:36:00,14/01/2018 04:27:24
368,3,316,20205,12/01/2018 14:27:00,14/01/2018 20:26:40
370,11,268,44362,12/01/2018 16:09:00,14/01/2018 03:15:59
371,11,326,41109,12/01/2018 17:00:00,14/01/2018 22:45:15
373,6,150,27701,12/01/2018 18:42:00,15/01/2018 08:01:35
374,7,11,7997,12/01/2018 19:33:00,15/01/2018 00:05:32
375,11,251,22615,12/01/2018 20:24:00,14/01/2018 18:00:10
378,5,332,37775,12/01/2018 22:57:00,15/01/2018 05:41:01
379,8,82,4714,12/01/2018 23:48:00,15/01/2018 17:03:43
380,8,43,8322,13/01/2018 00:57:00,15/01/2018 01:06:32
381,7,7,35633,13/01/2018 01:54:00,15/01/2018 05:48:22
382,4,242,13087,13/01/2018 02:51:00,15/01/2018 14:42:34
384,4,365,29520,13/01/2018 04:45:00,14/01/2018 05:34:37
385,1,244,24923,13/01/2018 05:42:00,14/01/2018 15:45:26
386,7,287,44454,13/01/2018 06:39:00,15/01/2018 01:27:56
388,1,240,17098,13/01/2018 08:33:00,15/01/2018 13:28:24
389,4,232,37497,13/01/2018 09:30:00,15/01/2018 12:28:54
390,13,329,7736,13/01/2018 10:27:00,14/01/2018 11:31:25
392,7,371,13487,13/01/2018 12:21:00,15/01/2018 03:24:39
394,7,117,7456,13/01/2018 14:15:00,15/01/2018 04:50:10
395,8,177,16733,13/01/2018 15:12:00,14/01/2018 18:50:48
396,8,392,32992,13/01/2018 16:09:00,15/01/2018 00:25:28
398,12,38,16533,13/01/2018 18:03:00,15/01/2018 18:41:59
400,10,278,42578,13/01/2018 19:57:00,16/01/2018 07:05:06
401,13,121,13263,13/01/2018 20:54:00,16/01/2018 07:50:03
402,10,167,36577,13/01/2018 21:51:00,15/01/2018 04:24:00
403,9,39,37848,13/01/2018 22:48:00,15/01/2018 07:58:36
404,2,343,23311,13/01/2018 23:45:00,15/01/2018 04:55:58
406,1,324,14642,14/01/2018 01:12:00,15/01/2018 15:01:27
410,13,114,8294,14/01/2018 03:36:00,16/01/2018 16:40:14
411,10,117,7173,14/01/2018 04:12:00,15/01/2018 09:57:03
412,3,142,18221,14/01/2018 04:48:00,15/01/2018 23:33:20
413,3,141,22816,14/01/2018 05:24:00,16/01/2018 18:21:48
414,4,286,42655,14/01/2018 06:00:00,16/01/2018 10:21:56
416,14,143,41019,14/01/2018 07:12:00,15/01/2018 20:44:39
417,9,364,15712,14/01/2018 07:48:00,15/01/2018 23:12:48
418,14,117,26509,14/01/2018 08:24:00,16/01/2018 00:47:27
421,5,287,25981,14/01/2018 10:12:00,15/01/2018 14:31:13
422,14,26,38748,14/01/2018 10:48:00,16/01/2018 01:27:23
424,14,71,20869,14/01/2018 12:00:00,16/01/2018 17:15:26
425,12,273,14943,14/01/2018 12:36:00,16/01/2018 20:34:58
427,14,165,4644,14/01/2018 13:48:00,17/01/2018 05:44:33
428,5,216,20070,14/01/2018 14:24:00,17/01/2018 06:45:59
429,8,200,29136,14/01/2018 15:00:00,17/01/2018 02:35:38
431,7,271,43338,14/01/2018 16:12:00,16/01/2018 16:48:00
432,11,375,15552,14/01/2018 16:48:00,16/01/2018 08:17:47
433,9,168,19728,14/01/2018 17:24:00,16/01/2018 14:33:45
434,7,368,8873,14/01/2018 18:00:00,16/01/2018 08:07:52
435,8,35,30230,14/01/2018 18:36:00,15/01/2018 19:18:11
436,8,311,4865,14/01/2018 19:12:00,17/01/2018 01:46:56
438,5,73,2637,14/01/2018 20:24:00,15/01/2018 21:31:39
439,2,362,17871,14/01/2018 21:00:00,16/01/2018 01:44:28
440,7,22,15596,14/01/2018 21:36:00,16/01/2018 01:19:18
441,13,154,7367,14/01/2018 22:12:00,16/01/2018 19:38:30
442,1,99,39222,14/01/2018 22:48:00,16/01/2018 19:24:26
444,14,51,35284,15/01/2018 00:00:00,16/01/2018 00:34:04
445,11,104,32856,15/01/2018 00:37:00,16/01/2018 18:01:30
446,10,95,43922,15/01/2018 01:14:00,16/01/2018 05:28:48
447,12,281,38028,15/01/2018 01:51:00,16/01/2018 21:54:14
448,2,250,31775,15/01/2018 02:28:00,16/01/2018 18:44:28
455,9,35,43510,15/01/2018 06:47:00,17/01/2018 15:47:43
456,11,238,3509,15/01/2018 07:24:00,16/01/2018 08:21:51
457,14,390,21035,15/01/2018 08:01:00,16/01/2018 17:49:54
460,9,199,2792,15/01/2018 09:52:00,16/01/2018 18:36:33
462,8,109,18651,15/01/2018 11:06:00,16/01/2018 12:16:07
463,9,12,9517,15/01/2018 11:43:00,17/01/2018 15:22:38
465,4,36,7161,15/01/2018 12:57:00,16/01/2018 13:11:58
466,3,200,28771,15/01/2018 13:34:00,17/01/2018 01:02:12
467,13,339,18728,15/01/2018 14:11:00,17/01/2018 20:22:37
468,14,297,12010,15/01/2018 14:48:00,16/01/2018 20:24:51
469,11,110,2903,15/01/2018 15:25:00,17/01/2018 08:07:50
471,3,210,17467,15/01/2018 16:39:00,17/01/2018 01:26:48
472,5,285,14209,15/01/2018 17:16:00,17/01/2018 22:03:16
473,14,203,22870,15/01/2018 17:53:00,17/01/2018 11:19:27
476,4,355,36921,15/01/2018 19:44:00,17/01/2018 03:37:59
477,9,317,34838,15/01/2018 20:21:00,17/01/2018 08:02:17
479,13,304,32226,15/01/2018 21:35:00,18/01/2018 01:21:54
480,2,315,17889,15/01/2018 22:12:00,17/01/2018 13:23:21
501,7,273,17198,16/01/2018 10:27:00,
506,7,303,15723,16/01/2018 13:12:00,
507,10,233,19301,16/01/2018 13:45:00,
509,14,146,39334,16/01/2018 14:51:00,
523,9,82,21363,16/01/2018 22:33:00,
524,7,97,9903,16/01/2018 23:06:00,
530,9,197,13452,17/01/2018 03:30:00,
531,10,12,35305,17/01/2018 04:12:00,
532,6,395,30290,17/01/2018 04:54:00,
535,3,195,8627,17/01/2018 07:00:00,
537,7,167,35420,17/01/2018 08:24:00,
547,2,234,12706,17/01/2018 15:24:00,
558,12,368,7056,17/01/2018 23:06:00,
559,10,254,41808,17/01/2018 23:48:00,
564,4,21,23218,18/01/2018 04:00:00,
567,2,260,18532,18/01/2018 06:24:00,
574,8,66,35860,18/01/2018 12:00:00,
577,7,389,29995,18/01/2018 14:24:00,
579,5,298,382,18/01/2018 16:00:00,
592,7,112,24811,19/01/2018 01:36:00,
593,6,323,15408,19/01/2018 02:08:00,
599,12,84,34646,19/01/2018 05:20:00,
